Natural Forests,Plantation Forests
12,4531
15,4972
16,4901
11,4821
11,4538
15,5192
15,5502
13,5385
14,4804
11,5634
10,5796
9,5823
8,5183
8,5694
10,5409
8,4934
6,4842
9,4906
6,5205
5,4832
5,4333
6,4892
6,5024
6,4754
7,4133
5,4884
5,5184
5,5140
3,4688
7,5282
4,5341
6,4988
2,4776
4,4776
6,5182
2,4652
5,4238
1,5344
4,5752
4,5401
5,5446
5,6252
5,6334
4,6356
4,6091
4,6861
3,6749
5,6333
3,6028
3,7307
4,6689
3,7287
5,6747
6,7557
7,7924
